Title,Year,Genre,Rating
The Shawshank Redemption,1994,Drama,9.3
The Godfather,1972,Crime,9.2
The Dark Knight,2008,Action,9.0
Pulp Fiction,1994,Crime,8.9
Forrest Gump,1994,Drama,8.8

